SCD	speaker	tmin	tmax	text
3003-1 	A:	52.185	53.785	(ppb) a bit regret [ah] (ppb)
3003-2 	B:	53.775	56.3	[oh] you told me about this like some time ago right
3003-1 	A:	53.785	56.135	<S>
3003-1 	A:	56.135	56.773	ya
3003-2 	B:	56.3	57.075	<S>
3003-1 	A:	56.773	63.06	<S>
3003-2 	B:	57.075	61.005	[oh] you wanted to take it last year but then you didn't know if should you should
3003-2 	B:	61.005	61.73	take it
3003-2 	B:	61.73	62.38	<S>
3003-2 	B:	62.38	62.992	alright
3003-2 	B:	62.992	65.842	<S>
3003-1 	A:	63.06	63.635	ya
3003-1 	A:	63.635	64.322	(um)
3003-1 	A:	64.322	64.81	<S>
3003-1 	A:	64.81	65.772	but I took it already
3003-1 	A:	65.772	66.522	<S>
3003-2 	B:	65.842	66.617	okay
3003-1 	A:	66.522	67.297	so like
3003-2 	B:	66.617	71.795	<S>
3003-1 	A:	67.297	69.16	ya [lor] they give me the money already
3003-1 	A:	69.16	69.847	<S>
3003-1 	A:	69.847	71.335	now (ppl) I have to work for them
3003-1 	A:	71.335	73.885	<S>
3003-2 	B:	71.795	74.27	so like you #bo# #pian# then you like no choice have to
3003-1 	A:	73.885	75.584	yeah (ppl) no choice [lor]
3003-2 	B:	74.27	81.975	<S>
3003-1 	A:	75.584	76.034	<S>
3003-1 	A:	76.034	78.609	but okay [lah] I see myself like
3003-1 	A:	78.609	79.847	<S>
3003-1 	A:	79.847	81.597	doing Early Childhood
3003-1 	A:	81.597	86.512469	<S>
3003-2 	B:	81.975	83.15	okay [lor] then
3003-2 	B:	83.15	85.425	never mind [lah] it's just like a stepping stone for you [orh]
3003-2 	B:	85.425	89.495	<S>
3003-1 	A:	86.512469	89.484	then you [eh] what course you doing now
3003-1 	A:	89.484	135.333	<S>
3003-2 	B:	89.495	91.945	I do I'm doing mass comm in
3003-2 	B:	91.945	93.145	<S>
3003-2 	B:	93.145	93.557	<S>
3003-2 	B:	93.557	94.582	and
3003-2 	B:	94.582	96.095	yeah it's kind of
3003-2 	B:	96.095	97.145	i headache [lah]
3003-2 	B:	97.145	97.87	<S>
3003-2 	B:	97.87	99.97	like my course got no exams right
3003-2 	B:	99.97	100.807	<S>
3003-2 	B:	100.807	103.015	so everything is project based
3003-2 	B:	103.015	103.39	<S>
3003-2 	B:	103.39	104.152	so like
3003-2 	B:	104.152	107.465	(um) every week I have at least one project to do
3003-2 	B:	107.465	108.227	and then
3003-2 	B:	108.227	110.692	this one project will constitute like about
3003-2 	B:	110.692	112.517	ten to fifteen percent
3003-2 	B:	112.517	114.342	of one module grade
3003-2 	B:	114.342	114.817	<S>
3003-2 	B:	114.817	116.052	which is
3003-2 	B:	116.052	117.627	<S>
3003-2 	B:	117.627	118.465	you cannot say that
3003-2 	B:	118.465	118.927	<S>
3003-2 	B:	118.927	120.39	which which is like
3003-2 	B:	120.39	121.365	very
3003-2 	B:	121.365	122.964	<S>
3003-2 	B:	122.964	124.412	it's like a big burden [lah]
3003-2 	B:	124.412	125.624	<S>
3003-2 	B:	125.624	126.874	ya cause like
3003-2 	B:	126.874	129.437	compared to other courses where they have exams right
3003-2 	B:	129.437	131.212	like final exams
3003-2 	B:	131.212	135.189	(um) like they can one time just #chiong# like they can one time just
3003-2 	B:	135.189	136.652	rush rush their studies
3003-1 	A:	135.333	136.945	ya ya ya quite true quite true
3003-2 	B:	136.652	137.889	<S>
3003-1 	A:	136.945	150.807	<S>
3003-2 	B:	137.889	140.277	they can just rush their studies at
3003-2 	B:	140.277	140.939	<S>
3003-2 	B:	140.939	143.102	at towards the end of the semester
3003-2 	B:	143.102	146.014	whereas like for my kind of course right
3003-2 	B:	146.014	148.174	you have to be on top of your game like
3003-2 	B:	148.174	148.624	<S>
3003-2 	B:	148.624	150.974	the entire semester
3003-1 	A:	150.807	152.607	must be like consistent [ah]
3003-2 	B:	150.974	151.874	<S>
3003-2 	B:	151.874	153.662	ya you have to be consistent
3003-1 	A:	152.607	174.631	<S>
3003-2 	B:	153.662	154.174	<S>
3003-2 	B:	154.174	155.674	which is
3003-2 	B:	155.674	158.187	(err) kind of a double edge sword
3003-2 	B:	158.187	159.497	cause you don't really got
3003-2 	B:	159.497	161.297	you don't really have the stress
3003-2 	B:	161.297	161.884	<S>
3003-2 	B:	161.884	162.809	of
3003-2 	B:	162.809	165.684	having to study for a final year exam
3003-2 	B:	165.684	166.172	<S>
3003-2 	B:	166.172	166.897	but
3003-2 	B:	166.897	167.734	(uh)
3003-2 	B:	167.734	169.134	<S>
3003-2 	B:	169.134	169.767	you
3003-2 	B:	169.767	170.267	<S>
3003-2 	B:	170.267	171.604	still need to
3003-2 	B:	171.604	173.854	be very consistent with your work like at all times
3003-2 	B:	173.854	215.109	<S>
3003-1 	A:	174.631	176.306	yeah quite true [lah] cause like
3003-1 	A:	176.306	176.856	<S>
3003-1 	A:	176.856	180.781	even though okay my course right we don't really have like exams
3003-1 	A:	180.781	181.259	<S>
3003-1 	A:	181.259	182.283	there thought
3003-1 	A:	182.283	184.433	okay wait no never mind
3003-1 	A:	184.433	187.308	<S>
3003-1 	A:	187.308	195.271	we have exams but it's not for every module is mainly like the psychology module so like (um)
3003-1 	A:	195.271	197.733	for my year for year two right
3003-1 	A:	197.733	198.921	<S>
3003-1 	A:	198.921	202.471	I took up this module called developmental psych
3003-1 	A:	202.471	205.621	so like (um) during the first term right
3003-1 	A:	205.621	206.308	<S>
3003-1 	A:	206.308	209.271	there's like ten chapters of test
3003-1 	A:	209.271	212.396	and later like suddenly in the final term
3003-1 	A:	212.396	216.508	they squeeze like all the twenty chapters in one test then
3003-2 	B:	215.109	215.746	<Z>
3003-2 	B:	215.746	220.571	<S>
3003-1 	A:	216.508	217.833	!wah!
3003-1 	A:	217.833	219.683	very stressful [eh] (ppb)
3003-1 	A:	219.683	228.245	<S>
3003-2 	B:	220.571	222.684	(um) but do you think it
3003-2 	B:	222.684	224.309	<UNK> it kind of mimics like
3003-2 	B:	224.309	225.321	O-levels
3003-2 	B:	225.321	226.896	<S>
3003-2 	B:	226.896	228.171	which is
3003-2 	B:	228.171	231.259	<S>
3003-1 	A:	228.245	232.908	ya ya ya we do like our exams at the sports hall where you know with everyone
3003-2 	B:	231.259	232.871	<Z>
3003-2 	B:	232.871	236.496	<S>
3003-1 	A:	232.908	236.77	yeah then you can leave early [lor] if you like finish the paper
3003-2 	B:	236.496	239.308	I've I've never taken an exam in Poly before
3003-1 	A:	236.77	245.145	<S>
3003-2 	B:	239.308	242.421	I've taken like test in lecture hall
3003-2 	B:	242.421	243.446	<S>
3003-2 	B:	243.446	246.258	and I've tried to cheat (ppl)
3003-1 	A:	245.145	246.245	(ppl)
3003-1 	A:	246.245	250.995	<S>
3003-2 	B:	246.258	250.646	like cause (um) like you can see the people's work in front of you [lah]
3003-2 	B:	250.646	252.171	<S>
3003-1 	A:	250.995	254.095	[oh] yeah cause like is just one seat away right
3003-2 	B:	252.171	252.658	yeah
3003-2 	B:	252.658	253.733	<S>
3003-2 	B:	253.733	256.858	correct and plus the stairs the
3003-1 	A:	254.095	268.908	<S>
3003-2 	B:	256.858	258.808	seats are on like stairs you know
3003-2 	B:	258.808	262.02	so you can see the people's work in front of you
3003-2 	B:	262.02	262.733	but
3003-2 	B:	262.733	263.62	<S>
3003-2 	B:	263.62	268.045	then again like it depends on their handwriting if their handwriting is very small then you cannot see
3003-2 	B:	268.045	268.97	<S>
3003-1 	A:	268.908	274.132	[oh] yeah I cheat before also [eh] (ppl) wait wait wait but it's like (um)
3003-2 	B:	268.97	269.633	so
3003-2 	B:	269.633	283.508	<S>
3003-1 	A:	274.132	274.845	<S>
3003-1 	A:	274.845	278.832	I think I I did I tell you about how right it's like a
3003-1 	A:	278.832	279.87	test
3003-1 	A:	279.87	281.42	is a E book
3003-1 	A:	281.42	289.37	[eh] not E book test like online one so we just use like Google-Chrome you know to find the information we just copy and paste the questions
3003-2 	B:	283.508	284.12	<Z>
3003-2 	B:	284.12	286.608	<S>
3003-2 	B:	286.608	287.295	<Z>
3003-2 	B:	287.295	300.895	<S>
3003-1 	A:	289.37	292.282	then just what like we usually do for our quiz also
3003-1 	A:	292.282	294.42	<S>
3003-1 	A:	294.42	299.245	kind of defeats the purpose cause like you know you are supposed to do it for like revision
3003-1 	A:	299.245	326.482	<S>
3003-2 	B:	300.895	303.982	for us right like we had the idea of
3003-2 	B:	303.982	305.057	trying to cheat
3003-2 	B:	305.057	308.445	and like trying to look up our answers 
3003-2 	B:	308.445	309.332	online
3003-2 	B:	309.332	309.895	<S>
3003-2 	B:	309.895	310.345	but
3003-2 	B:	310.345	310.845	<S>
3003-2 	B:	310.845	311.457	(um)
3003-2 	B:	311.457	312.107	<S>
3003-2 	B:	312.107	314.157	they always like station teachers
3003-2 	B:	314.157	315.657	around the lecture hall
3003-2 	B:	315.657	316.244	<S>
3003-2 	B:	316.244	319.644	so like during the test there's like three or four teachers
3003-2 	B:	319.644	321.932	around looking
3003-2 	B:	321.932	324.357	and like surveillancing the entire room
3003-2 	B:	324.357	328.482	<S>
3003-1 	A:	326.482	327.507	<Z>
3003-1 	A:	327.507	331.657	<S>
3003-2 	B:	328.482	329.107	yeah
3003-2 	B:	329.107	329.719	okay
3003-2 	B:	329.719	336.257	<S>
3003-1 	A:	331.657	333.22	[oh] I know for my
3003-1 	A:	333.22	336.469	you know the Community Service camp that I joined
3003-2 	B:	336.257	336.682	yeah
3003-1 	A:	336.469	340.019	(um) so basically we did our performance
3003-2 	B:	336.682	376.84	<S>
3003-1 	A:	340.019	347.857	then (um) I made friends with this (uh) old auntie she's like eighty eight years old [leh] but she still can like walk normally you know
3003-1 	A:	347.857	349.544	then (um)
3003-1 	A:	349.544	351.707	you know when I was performing
3003-1 	A:	351.707	358.382	she saw me right then she was like (ppo) like very happy to see me then like !wah! it was damn
3003-1 	A:	358.382	361.132	like you know heartwarming very encouraging
3003-1 	A:	361.132	363.019	<S>
3003-1 	A:	363.019	363.9	also like
3003-1 	A:	363.9	365.637	<S>
3003-1 	A:	365.637	370.712	like very sad [eh] cause like most of the elderly there right they live alone
3003-1 	A:	370.712	371.7	<S>
3003-1 	A:	371.7	372.312	then like
3003-1 	A:	372.312	374.712	<S>
3003-1 	A:	374.712	377.95	I felt good that I like made their day [lah]
3003-2 	B:	376.84	378.178	like you made a difference [ah]
3003-1 	A:	377.95	378.575	<S>
3003-2 	B:	378.178	382.54	<S>
3003-1 	A:	378.575	381.688	then after like I join the camp right I feel like joining more
3003-1 	A:	381.688	383.525	like more camps you know to like
3003-2 	B:	382.54	382.978	<Z>
3003-2 	B:	382.978	386.103	<S>
3003-1 	A:	383.525	386.563	widen my cir~ my social circle
3003-2 	B:	386.103	392.578	(um) what what camp was it like was it a school event like was it hosted by your school
3003-1 	A:	386.563	392.188	<S>
3003-1 	A:	392.188	394.475	ya it's hosted by
3003-2 	B:	392.578	418.202	<S>
3003-1 	A:	394.475	397.825	the Community Service club is like a C_C_A [lah]
3003-1 	A:	397.825	398.35	<S>
3003-1 	A:	398.35	398.776	then
3003-1 	A:	398.776	399.588	<S>
3003-1 	A:	399.588	402.226	I told you right Desiree was supposed to be with
3003-1 	A:	402.226	403.063	<S>
3003-1 	A:	403.063	407.788	but then she she #pangseh# me cause she say like she had cramps
3003-1 	A:	407.788	409.426	then she like scared
3003-1 	A:	409.426	414.806	or more like she don't want to be like annoyed by all the people she scared she P_M_S at them
3003-1 	A:	414.806	415.401	<S>
3003-1 	A:	415.401	416.113	ya
3003-1 	A:	416.113	417.401	so I ended up being alone [lor]
3003-1 	A:	417.401	420.151	<S>
3003-2 	B:	418.202	419.914	but it's okay [lah] if you had fun
3003-2 	B:	419.914	448.876	<S>
3003-1 	A:	420.151	422.101	but on the bright side right (um)
3003-1 	A:	422.101	423.014	<S>
3003-1 	A:	423.014	427.239	I met this senior she's also from Early Childhood [ah] and then later (um)
3003-1 	A:	427.239	428.126	<S>
3003-1 	A:	428.126	431.501	I found out that she actually she and her friends from
3003-1 	A:	431.501	437.502	E C S also right they created like a C_C_A specially to like volun~
3003-1 	A:	437.502	439.752	volunteer in events
3003-1 	A:	439.752	440.289	<S>
3003-1 	A:	440.289	440.702	like
3003-1 	A:	440.702	441.227	<S>
3003-1 	A:	441.227	441.602	that
3003-1 	A:	441.602	442.864	<S>
3003-1 	A:	442.864	444.952	that help you like interact with children [lor]
3003-1 	A:	444.952	447.114	so like I'm now in the C_C_A
3003-1 	A:	447.114	448.414	it's like [eh] quite good [eh]
3003-1 	A:	448.414	457.877	<S>
3003-2 	B:	448.876	451.626	wait so (um) in this C_C_A right
3003-2 	B:	451.626	457.101	is will you like obtain C_C_A points or is it Community Service
3003-2 	B:	457.101	459.913	<S>
3003-1 	A:	457.877	458.615	<Z>
3003-1 	A:	458.615	460.127	sale points
3003-2 	B:	459.913	461.001	seal points okay
3003-1 	A:	460.127	464.402	it's the same [lah] Community Service and C_C_A points it's the same
3003-2 	B:	461.001	466.463	<S>
3003-1 	A:	464.402	465.34	ya
3003-1 	A:	465.34	502.928	<S>
3003-2 	B:	466.463	469.151	okay you know I want to join gardening club
3003-2 	B:	469.151	470.038	<S>
3003-2 	B:	470.038	471.638	no (ppl)
3003-2 	B:	471.638	472.438	<S>
3003-2 	B:	472.438	477.413	(ppl) I think it's very interesting [eh] because now I am in astronomy
3003-2 	B:	477.413	480.663	and then I am also in library champions
3003-2 	B:	480.663	482.025	<S>
3003-2 	B:	482.025	491.560559	and I am an unofficial member of stage which is (um) theatre production so basically I do costume I do makeup I do planning
3003-2 	B:	491.560559	492.25	<S>
3003-2 	B:	492.25	496.863	and then I just want to do gardening and then because this four C_C_As are like
3003-2 	B:	496.863	499.587	very like stereotypically like
3003-2 	B:	499.587	501.975	like very nerdy very loser ish
3003-2 	B:	501.975	504.725	<S>
3003-1 	A:	502.928	505.953	I thought you already loser already (ppl)
3003-2 	B:	504.725	507.25	[eh] don't like that [lah] no I think it's kinda interesting don't you think
3003-1 	A:	505.953	509.154	<S>
3003-2 	B:	507.25	517.25	<S>
3003-1 	A:	509.154	512.774	ya okay [lah] my sister also what like after she join
3003-1 	A:	512.774	513.566	her job
3003-1 	A:	513.566	535.679	<S>
3003-2 	B:	517.25	518.274	what's your sister work as
3003-2 	B:	518.274	543.911	<S>
3003-1 	A:	535.679	537.517	like you know when schools come over
3003-1 	A:	537.517	539.042	<S>
3003-1 	A:	539.042	541.942	give them a talk like [ah] publiciser ya ya ya that's the word
3003-1 	A:	541.942	594.699	<S>
3003-2 	B:	543.911	544.986	that's quite interesting
3003-2 	B:	544.986	548.083	<S>
3003-2 	B:	548.083	549.433	might as well just go all the way right
3003-2 	B:	549.433	554.171	no because like it's very stereotypical like [oh] cause I'm from film school
3003-2 	B:	554.171	554.746	<S>
3003-2 	B:	554.746	558.633	so they were like [oh] you know like the film school people all like very #popz# one all like
3003-2 	B:	558.633	560.746	all like very fashionista that kind
3003-2 	B:	560.746	562.108	<S>
3003-2 	B:	562.108	563.508	and then it'll just
3003-2 	B:	563.508	564.108	<S>
3003-2 	B:	564.108	566.146	con~ just like contradict yourself [lor]
3003-2 	B:	566.146	566.696	<S>
3003-2 	B:	566.696	567.971	I think it'll be quite cool [leh]
3003-2 	B:	567.971	570.321	because like in library club and in
3003-2 	B:	570.321	570.808	<S>
3003-2 	B:	570.808	572.171	(um) astronomy right
3003-2 	B:	572.171	574.608	really there's no film students there
3003-2 	B:	574.608	579.621	like in the film school there are four different courses right none of them will join all of them want to join like
3003-2 	B:	579.621	580.146	<S>
3003-2 	B:	580.146	580.546	(um)
3003-2 	B:	580.546	580.971	<S>
3003-2 	B:	580.971	585.121	yeah like (um) theatre they want to join like the dance C_C_As
3003-2 	B:	585.121	586.708	<S>
3003-2 	B:	586.708	589.208	and then like when I'm in the library club
3003-2 	B:	589.208	589.571	<S>
3003-2 	B:	589.571	590.008	or like
3003-2 	B:	590.008	590.433	<S>
3003-2 	B:	590.433	594.258	astronomy right it's all the I_T students engineering students
3003-2 	B:	594.258	596.745	<S>
3003-1 	A:	594.699	599.867	then what you can be like the one special one like hey I'm from like (um) C_M_M
3003-2 	B:	596.745	597.458	ya ya ya
3003-2 	B:	597.458	598.608	<S>
3003-2 	B:	598.608	599.145	yeah
3003-2 	B:	599.145	600.945	<S>
3003-1 	A:	599.867	718.939	<S>
3003-2 	B:	600.945	603.47	there is M_C_M C_M_M is for P_P
3003-2 	B:	603.47	606.258	yeah M_C_M yeah so it's like very interesting
3003-2 	B:	606.258	606.745	<S>
3003-2 	B:	606.745	609.733	and then (um) [oh] did I tell you for astronomy right the first
3003-2 	B:	609.733	610.583	<S>
3003-2 	B:	610.583	613.783	the the second w~ when I walked in for the second lesson
3003-2 	B:	613.783	615.208	the vice chair
3003-2 	B:	615.208	616.32	of the C_C_A
3003-2 	B:	616.32	617.895	he was like
3003-2 	B:	617.895	620.395	what you're still here I thought you would've left by now
3003-2 	B:	620.395	622.02	I thought you have quit by now
3003-2 	B:	622.02	623.008	<S>
3003-2 	B:	623.008	626.77	cause apparently like a lot of people will join right and then they realize how lame the club is so they will leave
3003-2 	B:	626.77	627.383	<S>
3003-2 	B:	627.383	629.02	but I like it because it's lame
3003-2 	B:	629.02	630.108	<S>
3003-2 	B:	630.108	631.095	no it's like
3003-2 	B:	631.095	636.783	it's like a really good title don't you think like [oh] I'm a library champion and I'm an like and I am in astronomy
3003-2 	B:	636.783	639.545	<S>
3003-2 	B:	639.545	644.358	yeah can you imagine like my (um) portfolio next time when I try to apply for a job
3003-2 	B:	644.358	646.27	if you look at me what a nerd
3003-2 	B:	646.27	653.72	<S>
3003-2 	B:	653.72	655.908	I don't think so [eh] like you can just walk in
3003-2 	B:	655.908	657.008	<S>
3003-2 	B:	657.008	657.458	like
3003-2 	B:	657.458	657.97	<S>
3003-2 	B:	657.97	659.733	cause at least for the
3003-2 	B:	659.733	661.32	the
3003-2 	B:	661.32	662.633	stage production right
3003-2 	B:	662.633	663.126	<S>
3003-2 	B:	663.126	663.883	the
3003-2 	B:	663.883	665.17	yeah the theatre one
3003-2 	B:	665.17	665.808	<S>
3003-2 	B:	665.808	667.108	(um) they had
3003-2 	B:	667.108	667.795	<S>
3003-2 	B:	667.795	670.763195	an event so they are hosting a haunted house in 
3003-2 	B:	670.763195	671.583	<Z>
3003-2 	B:	671.583	672.12	<S>
3003-2 	B:	672.12	672.933	so
3003-2 	B:	672.933	675.708	that event was open to all film students
3003-2 	B:	675.708	676.408	<S>
3003-2 	B:	676.408	677.308	it doesn't
3003-2 	B:	677.308	678.058	<S>
3003-2 	B:	678.058	680.258	like doesn't matter if you are in the C_C_A or not
3003-2 	B:	680.258	682.508	so I signed up to
3003-2 	B:	682.508	684.92	help out in that [lah] because (um)
3003-2 	B:	684.92	685.595	<S>
3003-2 	B:	685.595	687.407	I was talking to my friend who was in
3003-2 	B:	687.407	688.52	this theatre club
3003-2 	B:	688.52	688.982	<S>
3003-2 	B:	688.982	692.657	and then I was telling her like [oh] I know how to sew
3003-2 	B:	692.657	695.37	and I don't mind doing like makeup also
3003-2 	B:	695.37	697.295	then for some reason
3003-2 	B:	697.295	699.295	she told that to her senior
3003-2 	B:	699.295	699.957	<S>
3003-2 	B:	699.957	701.195	and then the senior was like
3003-2 	B:	701.195	701.657	<S>
3003-2 	B:	701.657	703.82	the senior ask me if I wanted to join
3003-2 	B:	703.82	705.795	and then
3003-2 	B:	705.795	708.232	I'm in I'm in the event now
3003-2 	B:	708.232	708.945	<S>
3003-2 	B:	708.945	711.07	yeah [oh] I'm going out to buy
3003-2 	B:	711.07	714.207	(um) props for our haunted room
3003-2 	B:	714.207	715.207	<S>
3003-2 	B:	715.207	717.907	(um) this coming Friday at #Bugis#
3003-2 	B:	717.907	721.757	<S>
3003-1 	A:	718.939	720.952	is it the #jumanji# team
3003-1 	A:	720.952	788.306	<S>
3003-2 	B:	721.757	723.17	[oh] no they changed it
3003-2 	B:	723.17	725.832	so now the theme is (err) hotel
3003-2 	B:	725.832	727.257	<S>
3003-2 	B:	727.257	729.807	so ya so we have five rooms right
3003-2 	B:	729.807	730.699	<S>
3003-2 	B:	730.699	732.967	so the participants will go from room to room
3003-2 	B:	732.967	736.029	and then each room has a different
3003-2 	B:	736.029	736.879	concept
3003-2 	B:	736.879	737.292	<S>
3003-2 	B:	737.292	739.317	so I'm in charge of room three
3003-2 	B:	739.317	741.067	and my room is the
3003-2 	B:	741.067	741.704	<S>
3003-2 	B:	741.704	742.954	the hotel room itself
3003-2 	B:	742.954	744.229	<S>
3003-2 	B:	744.229	747.367	yeah no no no my room is the nursery sorry
3003-2 	B:	747.367	748.629	<S>
3003-2 	B:	748.629	751.117	so (um) how the nursery works right
3003-2 	B:	751.117	753.317	is once you enter it's like a maze
3003-2 	B:	753.317	754.317	<S>
3003-2 	B:	754.317	757.504	and at the beginning there will be like some kind of usher
3003-2 	B:	757.504	758.104	<S>
3003-2 	B:	758.104	761.517	who like will dress up as like some little girl and then she will skip around the maze
3003-2 	B:	761.517	763.054	<S>
3003-2 	B:	763.054	764.867	and then like you have to follow her
3003-2 	B:	764.867	766.492	but the thing is she will always be faster than you
3003-2 	B:	766.492	766.942	<S>
3003-2 	B:	766.942	769.842	and she will tell you that (um) you need to find
3003-2 	B:	769.842	771.304	like parts of
3003-2 	B:	771.304	771.767	<S>
3003-2 	B:	771.767	772.617	the doll
3003-2 	B:	772.617	773.217	<S>
3003-2 	B:	773.217	773.979	for you to
3003-2 	B:	773.979	774.479	<S>
3003-2 	B:	774.479	775.354	put together
3003-2 	B:	775.354	775.817	<S>
3003-2 	B:	775.817	778.979	so we'll have like the doll like hanging from the ceiling
3003-2 	B:	778.979	780.229	with like a piece of rope
3003-2 	B:	780.229	781.717	<S>
3003-2 	B:	781.717	785.554	like it'll be dangling down the ceiling [lah] so it'll be like maybe at their head level
3003-2 	B:	785.554	788.462	<S>
3003-1 	A:	788.306	789.361	or like just the head
3003-2 	B:	788.462	790.767	the doll like like like a head or like a limb
3003-1 	A:	789.361	872.03	<S>
3003-2 	B:	790.767	792.079	<S>
3003-2 	B:	792.079	793.341	(um) yeah so
3003-2 	B:	793.341	795.391	we will have those kind so
3003-2 	B:	795.391	798.641	at the end they will reach like this area
3003-2 	B:	798.641	800.566	where they will have to assemble the doll
3003-2 	B:	800.566	801.754	to be able to exit
3003-2 	B:	801.754	802.754	<S>
3003-2 	B:	802.754	803.466	so like
3003-2 	B:	803.466	806.266	throughout the maze there will be jump scares and everything [lah] very typical
3003-2 	B:	806.266	807.041	<S>
3003-2 	B:	807.041	807.716	ya
3003-2 	B:	807.716	814.554	<S>
3003-2 	B:	814.554	815.229	<Z>
3003-2 	B:	815.229	824.404	<S>
3003-2 	B:	824.404	825.804	which is your community one [ah]
3003-2 	B:	825.804	836.341	<S>
3003-2 	B:	836.341	837.091	<Z>
3003-2 	B:	837.091	859.728	<S>
3003-2 	B:	859.728	861.228	I think just try it out [lor]
3003-2 	B:	861.228	863.091	<S>
3003-2 	B:	863.091	865.991	also like I don't understand why you need to start at the
3003-2 	B:	865.991	866.628	<S>
3003-2 	B:	866.628	870.878	academic year like can't you just be a unofficial member like you just sit in
3003-2 	B:	870.878	878.428	<S>
3003-1 	A:	872.03	873.773	you I think you can join
3003-1 	A:	873.773	874.423	<S>
3003-1 	A:	874.423	875.323	like you can walk
3003-1 	A:	875.323	876.023	<S>
3003-1 	A:	876.023	878.271545	but that one is based on like connections
3003-1 	A:	878.271545	878.848	<S>
3003-2 	B:	878.428	878.891	yeah
3003-1 	A:	878.848	879.723	cause right (um)
3003-2 	B:	878.891	892.466	<S>
3003-1 	A:	879.723	880.273	<S>
3003-1 	A:	880.273	882.086	another of my team member right
3003-1 	A:	882.086	883.123	she say like
3003-1 	A:	883.123	886.348	her cousin is like the president of this C_C_A
3003-1 	A:	886.348	887.673	so she want to like
3003-1 	A:	887.673	889.711	join right she can just tell the cousin
3003-1 	A:	889.711	918.749	<S>
3003-2 	B:	892.466	895.891	ya I mean that's how it works like a lot of time [lor] like if you have friends in the C_C_A
3003-2 	B:	895.891	897.943	then they will be more welcoming towards you
3003-2 	B:	897.943	901.803	or like if that C_C_A is a school C_C_A
3003-2 	B:	901.803	904.853	you know what I mean like if it's a film school C_C_A
3003-2 	B:	904.853	907.728	then like you can just walk in nobody will say anything
3003-2 	B:	907.728	929.328	<S>
3003-1 	A:	918.749	988.499	<Z>
3003-2 	B:	929.328	932.615	yeah everything's connection [ah] [oh] you know for my school like there's
3003-2 	B:	932.615	933.819581	(um) like in
3003-2 	B:	933.819581	934.259929	<Z>
3003-2 	B:	934.259929	936.165	there's this business school right
3003-2 	B:	936.165	937.715	then they have this
3003-2 	B:	937.715	939.328	student union thing
3003-2 	B:	939.328	941.628	<S>
