Conv.ID	SCD	Gender	Age	Ethnicity	Education	Occupation	Languages	First.Lang	Partner.ID	Relationship	Transcripts
3016	3016-2	M	2X	CHINESE	DIPLOMA	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3016-1	FRIENDS	Same Room
3017	3017-1	F	2X	CHINESE	DIPLOMA	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3017-2	FRIENDS	Same Room
3017	3017-2	F	2X	CHINESE	DIPLOMA	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3017-1	FRIENDS	Same Room
3018	3018-1	F	2X	CHINESE	DIPLOMA	DESIGNER	"ENGLISH, CHINESE"	ENGLISH	3018-2	FRIENDS	Same Room
3018	3018-2	F	2X	CHINESE	DIPLOMA	ADMINISTRATION	"ENGLISH, CHINESE"	ENGLISH	3018-1	FRIENDS	Same Room
3019	3019-1	F	2X	CHINESE	DIPLOMA	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3019-2	FRIENDS	Same Room
3019	3019-2	M	2X	INDIAN	DIPLOMA	STUDENT	"ENGLISH, OTHER"	ENGLISH	3019-1	FRIENDS	Same Room
3020	3020-1	M	2X	OTHERS	DIPLOMA	UNEMPLOYED	ENGLISH	ENGLISH	3020-2	FRIENDS	Same Room
3020	3020-2	M	2X	INDIAN	DIPLOMA	STUDENT	"ENGLISH, MALAY"	ENGLISH	3020-1	FRIENDS	Same Room
3021	3021-1	M	2X	CHINESE	DIPLOMA	UNEMPLOYED	"ENGLISH, CHINESE"	ENGLISH	3021-2	FRIENDS	Same Room
3021	3021-2	M	2X	CHINESE	DIPLOMA	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3021-1	FRIENDS	Same Room
3022	3022-1	M	2X	CHINESE	BACHELOR	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3022-2	FRIENDS	Same Room
3022	3022-2	M	2X	CHINESE	POSTGRADUATE	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3022-1	FRIENDS	Same Room
3023	3023-1	F	5X	CHINESE	POSTGRADUATE	TECHNICIAN	"ENGLISH, CHINESE"	ENGLISH	3023-2	FAMILY	Same Room
3023	3023-2	F	5X	CHINESE	DIPLOMA	RETIRED	"ENGLISH, CHINESE"	ENGLISH	3023-1	FAMILY	Same Room
3024	3024-1	F	2X	CHINESE	A-LEVEL	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3024-2	FRIENDS	Same Room
3024	3024-2	F	2X	CHINESE	A-LEVEL	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3024-1	FRIENDS	Same Room
3025	3025-1	M	2X	CHINESE	N-LEVEL	MILITARY	ENGLISH	ENGLISH	3025-2	FRIENDS	Same Room
3025	3025-2	M	2X	CHINESE	DIPLOMA	MILITARY	ENGLISH	ENGLISH	3025-1	FRIENDS	Same Room
3026	3026-1	F	2X	CHINESE	A-LEVEL	N/A	"ENGLISH, CHINESE"	ENGLISH	3026-2	FRIENDS	Same Room
3026	3026-2	F	3X	CHINESE	BACHELOR	MANAGEMENT	"ENGLISH, CHINESE"	ENGLISH	3026-1	FRIENDS	Same Room
3027	3027-1	F	2X	CHINESE	BACHELOR	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3027-2	FRIENDS	Same Room
3027	3027-2	F	2X	CHINESE	BACHELOR	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3027-1	FRIENDS	Same Room
3028	3028-1	F	3X	CHINESE	BACHELOR	N/A	"ENGLISH, CHINESE"	ENGLISH	3028-2	FRIENDS	Same Room
3028	3028-2	F	3X	CHINESE	DIPLOMA	N/A	"ENGLISH, CHINESE"	ENGLISH	3028-1	FRIENDS	Same Room
3030	3030-1	M	4X	CHINESE	BACHELOR	ANALYST	"ENGLISH, CHINESE"	ENGLISH	3030-2	PARTNER	Same Room
3030	3030-2	F	3X	CHINESE	BACHELOR	HOMEMAKER	"ENGLISH, CHINESE"	ENGLISH	3030-1	PARTNER	Same Room
3031	3031-1	F	2X	CHINESE	A-LEVEL	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3031-2	FRIENDS	Same Room
3031	3031-2	F	2X	CHINESE	A-LEVEL	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3031-1	FRIENDS	Same Room
3032	3032-1	F	2X	CHINESE	DIPLOMA	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3032-2	FRIENDS	Same Room
3032	3032-2	F	2X	CHINESE	A-LEVEL	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3032-1	FRIENDS	Same Room
3033	3033-1	M	2X	MALAY	BACHELOR	STUDENT	"ENGLISH, MALAY"	ENGLISH	3033-2	FRIENDS	Same Room
3033	3033-2	M	2X	MALAY	BACHELOR	STUDENT	"ENGLISH, MALAY"	ENGLISH	3033-1	FRIENDS	Same Room
3034	3034-1	F	2X	CHINESE	A-LEVEL	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3034-2	FRIENDS	Same Room
3034	3034-2	F	2X	CHINESE	A-LEVEL	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3034-1	FRIENDS	Same Room
3035	3035-1	F	2X	CHINESE	BACHELOR	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3035-2	FRIENDS	Same Room
3035	3035-2	M	2X	CHINESE	BACHELOR	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3035-1	FRIENDS	Same Room
3036	3036-1	F	2X	INDIAN	BACHELOR	STUDENT	"ENGLISH, TAMIL"	ENGLISH	3036-2	FAMILY	Same Room
3036	3036-2	F	5X	INDIAN	A-LEVEL	HEALTHCARE	"ENGLISH, TAMIL"	ENGLISH	3036-1	FAMILY	Same Room
3037	3037-1	F	2X	CHINESE	BACHELOR	N/A	"ENGLISH, CHINESE"	ENGLISH	3037-2	FRIENDS	Same Room
3037	3037-2	M	2X	CHINESE	BACHELOR	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3037-1	FRIENDS	Same Room
3038	3038-1	F	2X	CHINESE	DIPLOMA	UNEMPLOYED	"ENGLISH, CHINESE"	ENGLISH	3038-2	FRIENDS	Same Room
3038	3038-2	F	2X	CHINESE	A-LEVEL	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3038-1	FRIENDS	Same Room
3039	3039-1	M	2X	CHINESE	BACHELOR	FINANCE	"ENGLISH, CHINESE"	ENGLISH	3039-2	FRIENDS	Same Room
3039	3039-2	M	2X	CHINESE	BACHELOR	CIVIL SERVANT	"ENGLISH, CHINESE"	ENGLISH	3039-1	FRIENDS	Same Room
3040	3040-1	F	1X	CHINESE	DIPLOMA	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3040-2	FRIENDS	Same Room
3040	3040-2	F	1X	CHINESE	DIPLOMA	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3040-1	FRIENDS	Same Room
3041	3041-1	M	2X	MALAY	DIPLOMA	STUDENT	"ENGLISH, MALAY"	ENGLISH	3041-2	FRIENDS	Same Room
3041	3041-2	M	2X	MALAY	DIPLOMA	STUDENT	"ENGLISH, MALAY"	ENGLISH	3041-1	FRIENDS	Same Room
3042	3042-1	F	2X	CHINESE	BACHELOR	N/A	"ENGLISH, CHINESE"	ENGLISH	3042-2	PARTNER	Same Room
3042	3042-2	M	3X	CHINESE	BACHELOR	CIVIL SERVANT	"ENGLISH, CHINESE"	ENGLISH	3042-1	PARTNER	Same Room
3043	3043-1	F	3X	CHINESE	BACHELOR	FINANCE	"ENGLISH, CHINESE"	ENGLISH	3043-2	FRIENDS	Same Room
3043	3043-2	F	2X	CHINESE	BACHELOR	FINANCE	"ENGLISH, CHINESE"	ENGLISH	3043-1	FRIENDS	Same Room
3044	3044-1	F	3X	CHINESE	BACHELOR	MARKETING	"ENGLISH, CHINESE"	ENGLISH	3044-2	FRIENDS	Same Room
3044	3044-2	F	3X	CHINESE	BACHELOR	MARKETING	"ENGLISH, CHINESE"	ENGLISH	3044-1	FRIENDS	Same Room
3045	3045-1	F	3X	CHINESE	DIPLOMA	ACCOUNTANT	"ENGLISH, CHINESE"	ENGLISH	3045-2	FAMILY	Same Room
3045	3045-2	F	3X	CHINESE	BACHELOR	ACCOUNTANT	"ENGLISH, CHINESE"	ENGLISH	3045-1	FAMILY	Same Room
3046	3046-1	M	3X	CHINESE	BACHELOR	ENGINEER	"ENGLISH, CHINESE"	ENGLISH	3046-2	FRIENDS	Same Room
3046	3046-2	M	3X	CHINESE	BACHELOR	N/A	"ENGLISH, CHINESE"	ENGLISH	3046-1	FRIENDS	Same Room
3047	3047-1	F	2X	CHINESE	BACHELOR	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3047-2	FRIENDS	Same Room
3047	3047-2	F	2X	CHINESE	DIPLOMA	EXECUTIVE	"ENGLISH, CHINESE"	ENGLISH	3047-1	FRIENDS	Same Room
3048	3048-1	M	3X	CHINESE	DIPLOMA	ENGINEER	"ENGLISH, CHINESE"	ENGLISH	3048-2	FRIENDS	Same Room
3048	3048-2	M	3X	CHINESE	DIPLOMA	UNEMPLOYED	"ENGLISH, CHINESE"	ENGLISH	3048-1	FRIENDS	Same Room
3049	3049-1	M	2X	CHINESE	DIPLOMA	ADMINISTRATION	"ENGLISH, CHINESE, OTHER"	ENGLISH	3049-2	FRIENDS	Same Room
3049	3049-2	M	2X	CHINESE	DIPLOMA	MILITARY	"ENGLISH, CHINESE"	ENGLISH	3049-1	FRIENDS	Same Room
3050	3050-1	M	2X	CHINESE	DIPLOMA	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3050-2	FRIENDS	Same Room
3050	3050-2	F	2X	CHINESE	DIPLOMA	ANALYST	"ENGLISH, CHINESE"	ENGLISH	3050-1	FRIENDS	Same Room
3051	3051-1	F	2X	CHINESE	BACHELOR	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3051-2	FRIENDS	Same Room
3051	3051-2	F	2X	CHINESE	BACHELOR	STUDENT	"ENGLISH, CHINESE, OTHER"	ENGLISH	3051-1	FRIENDS	Same Room
3052	3052-1	F	5X	CHINESE	A-LEVEL	MARKETING	"ENGLISH, CHINESE"	ENGLISH	3052-2	FAMILY	Same Room
3052	3052-2	F	2X	CHINESE	DIPLOMA	MARKETING	"ENGLISH, CHINESE"	ENGLISH	3052-1	FAMILY	Same Room
3053	3053-1	M	2X	CHINESE	BACHELOR	N/A	"ENGLISH, CHINESE"	ENGLISH	3053-2	PARTNER	Same Room
3053	3053-2	F	2X	CHINESE	BACHELOR	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3053-1	PARTNER	Same Room
3054	3054-1	F	2X	CHINESE	BACHELOR	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3054-2	FRIENDS	Same Room
3054	3054-2	F	2X	CHINESE	BACHELOR	MEDIA	"ENGLISH, CHINESE"	ENGLISH	3054-1	FRIENDS	Same Room
3055	3055-1	F	2X	CHINESE	A-LEVEL	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3055-2	FRIENDS	Same Room
3055	3055-2	F	2X	CHINESE	A-LEVEL	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3055-1	FRIENDS	Same Room
3056	3056-1	F	4X	CHINESE	BACHELOR	N/A	"ENGLISH, CHINESE"	ENGLISH	3056-2	FRIENDS	Same Room
3056	3056-2	F	5X	CHINESE	O-LEVEL	N/A	"ENGLISH, CHINESE"	ENGLISH	3056-1	FRIENDS	Same Room
3057	3057-1	M	2X	CHINESE	DIPLOMA	STUDENT	ENGLISH	ENGLISH	3057-2	FRIENDS	Same Room
3057	3057-2	M	2X	CHINESE	DIPLOMA	STUDENT	ENGLISH	ENGLISH	3057-1	FRIENDS	Same Room
3058	3058-1	F	2X	CHINESE	BACHELOR	UNEMPLOYED	"ENGLISH, CHINESE"	ENGLISH	3058-2	FRIENDS	Same Room
3058	3058-2	F	2X	CHINESE	BACHELOR	N/A	"ENGLISH, CHINESE"	ENGLISH	3058-1	FRIENDS	Same Room
3059	3059-1	F	3X	INDIAN	BACHELOR	EDUCATOR	ENGLISH	ENGLISH	3059-2	FRIENDS	Same Room
3059	3059-2	F	3X	INDIAN	DIPLOMA	DESIGNER	ENGLISH	ENGLISH	3059-1	FRIENDS	Same Room
3060	3060-1	F	2X	CHINESE	BACHELOR	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3060-2	FRIENDS	Same Room
3060	3060-2	F	2X	CHINESE	BACHELOR	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3060-1	FRIENDS	Same Room
3061	3061-1	F	2X	INDIAN	BACHELOR	STUDENT	"ENGLISH, TAMIL, CHINESE"	ENGLISH	3061-2	PARTNER	Same Room
3061	3061-2	M	2X	CHINESE	BACHELOR	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3061-1	PARTNER	Same Room
3062	3062-1	F	2X	CHINESE	DIPLOMA	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3062-2	FRIENDS	Same Room
3062	3062-2	F	2X	CHINESE	DIPLOMA	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3062-1	FRIENDS	Same Room
3063	3063-1	F	2X	CHINESE	BACHELOR	MARKETING	"ENGLISH, CHINESE"	ENGLISH	3063-2	PARTNER	Same Room
3063	3063-2	M	3X	CHINESE	BACHELOR	MANAGEMENT	"ENGLISH, CHINESE"	ENGLISH	3063-1	PARTNER	Same Room
3064	3064-1	F	5X	CHINESE	BACHELOR	N/A	"ENGLISH, CHINESE"	ENGLISH	3064-2	FRIENDS	Same Room
3064	3064-2	F	5X	CHINESE	O-LEVEL	HOMEMAKER	"ENGLISH, CHINESE"	ENGLISH	3064-1	FRIENDS	Same Room
3065	3065-1	F	2X	CHINESE	BACHELOR	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3065-2	FRIENDS	Same Room
3065	3065-2	F	2X	CHINESE	BACHELOR	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3065-1	FRIENDS	Same Room
3066	3066-1	F	2X	CHINESE	BACHELOR	STUDENT	ENGLISH	ENGLISH	3066-2	FRIENDS	Same Room
3066	3066-2	F	4X	CHINESE	BACHELOR	FINANCE	ENGLISH	ENGLISH	3066-1	FRIENDS	Same Room
3067	3067-1	F	2X	MALAY	DIPLOMA	STUDENT	ENGLISH	ENGLISH	3067-2	FRIENDS	Same Room
3067	3067-2	F	2X	CHINESE	BACHELOR	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3067-1	FRIENDS	Same Room
3068	3068-1	F	2X	CHINESE	BACHELOR	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3068-2	FRIENDS	Same Room
3068	3068-2	F	2X	CHINESE	BACHELOR	STUDENT	ENGLISH	ENGLISH	3068-1	FRIENDS	Same Room
3069	3069-1	M	3X	MALAY	BACHELOR	MICE	ENGLISH	ENGLISH	3069-2	FRIENDS	Same Room
3069	3069-2	M	4X	CHINESE	DIPLOMA	MICE	ENGLISH	ENGLISH	3069-1	FRIENDS	Same Room
3070	3070-1	F	2X	CHINESE	BACHELOR	STUDENT	ENGLISH	ENGLISH	3070-2	FRIENDS	Same Room
3070	3070-2	F	2X	CHINESE	BACHELOR	STUDENT	ENGLISH	ENGLISH	3070-1	FRIENDS	Same Room
3071	3071-1	F	2X	CHINESE	BACHELOR	STUDENT	ENGLISH	ENGLISH	3071-2	FRIENDS	Same Room
3071	3071-2	F	2X	CHINESE	BACHELOR	STUDENT	ENGLISH	ENGLISH	3071-1	FRIENDS	Same Room
3072	3072-1	F	2X	CHINESE	BACHELOR	STUDENT	ENGLISH	ENGLISH	3072-2	FRIENDS	Same Room
3072	3072-2	F	2X	CHINESE	BACHELOR	STUDENT	ENGLISH	ENGLISH	3072-1	FRIENDS	Same Room
3073	3073-1	M	2X	CHINESE	BACHELOR	N/A	ENGLISH	ENGLISH	3073-2	PARTNER	Same Room
3073	3073-2	F	2X	CHINESE	BACHELOR	N/A	ENGLISH	ENGLISH	3073-1	PARTNER	Same Room
3074	3074-1	M	2X	CHINESE	BACHELOR	N/A	ENGLISH	CHINESE	3074-2	PARTNER	Same Room
3074	3074-2	F	2X	CHINESE	BACHELOR	N/A	ENGLISH	CHINESE	3074-1	PARTNER	Same Room
3075	3075-1	M	2X	CHINESE	DIPLOMA	N/A	ENGLISH	ENGLISH	3075-2	PARTNER	Same Room
3075	3075-2	F	1X	CHINESE	BACHELOR	N/A	ENGLISH	ENGLISH	3075-1	PARTNER	Same Room
3076	3076-1	F	2X	CHINESE	BACHELOR	N/A	ENGLISH	CHINESE	3076-2	FRIENDS	Same Room
3076	3076-2	F	2X	CHINESE	BACHELOR	N/A	ENGLISH	CHINESE	3076-1	FRIENDS	Same Room
3077	3077-1	M	2X	CHINESE	BACHELOR	N/A	ENGLISH	CHINESE	3077-2	FRIENDS	Same Room
3077	3077-2	M	2X	CHINESE	BACHELOR	N/A	ENGLISH	CHINESE	3077-1	FRIENDS	Same Room
3078	3078-1	F	2X	CHINESE	BACHELOR	N/A	ENGLISH	ENGLISH	3078-2	FRIENDS	Same Room
3078	3078-2	F	2X	CHINESE	BACHELOR	N/A	ENGLISH	ENGLISH	3078-1	FRIENDS	Same Room
3079	3079-1	F	3X	CHINESE	BACHELOR	ANALYST	ENGLISH	CHINESE	3079-2	FRIENDS	Same Room
3079	3079-2	F	2X	CHINESE	BACHELOR	ANALYST	ENGLISH	ENGLISH	3079-1	FRIENDS	Same Room
3081	3081-1	M	2X	CHINESE	BACHELOR	STUDENT	ENGLISH	ENGLISH	3081-2	FRIENDS	Same Room
3081	3081-2	F	2X	CHINESE	BACHELOR	STUDENT	ENGLISH	ENGLISH	3081-1	FRIENDS	Same Room
3082	3082-1	F	2X	CHINESE	BACHELOR	STUDENT	ENGLISH	ENGLISH	3082-2	PARTNER	Same Room
3082	3082-2	M	2X	CHINESE	BACHELOR	STUDENT	ENGLISH	ENGLISH	3082-1	PARTNER	Same Room
3083	3083-1	M	2X	CHINESE	BACHELOR	STUDENT	ENGLISH	CHINESE	3083-2	FRIENDS	Same Room
3083	3083-2	M	2X	CHINESE	BACHELOR	STUDENT	ENGLISH	ENGLISH	3083-1	FRIENDS	Same Room
3084	3084-1	M	2X	CHINESE	BACHELOR	STUDENT	ENGLISH	ENGLISH	3084-2	FRIENDS	Same Room
3084	3084-2	F	2X	CHINESE	BACHELOR	STUDENT	ENGLISH	CHINESE	3084-1	FRIENDS	Same Room
3085	3085-1	F	2X	CHINESE	BACHELOR	STUDENT	ENGLISH	ENGLISH	3085-2	FRIENDS	Same Room
3085	3085-2	F	2X	CHINESE	BACHELOR	STUDENT	ENGLISH	ENGLISH	3085-1	FRIENDS	Same Room
3086	3086-1	M	2X	CHINESE	BACHELOR	STUDENT	ENGLISH	ENGLISH	3086-2	PARTNER	Same Room
3086	3086-2	F	2X	CHINESE	BACHELOR	STUDENT	ENGLISH	ENGLISH	3086-1	PARTNER	Same Room
3087	3087-1	M	2X	CHINESE	BACHELOR	STUDENT	ENGLISH	CHINESE	3087-2	FRIENDS	Same Room
3087	3087-2	F	2X	CHINESE	BACHELOR	STUDENT	ENGLISH	CHINESE	3087-1	FRIENDS	Same Room
3088	3088-1	F	2X	CHINESE	BACHELOR	STUDENT	ENGLISH	CHINESE	3088-2	FRIENDS	Same Room
3088	3088-2	F	2X	CHINESE	BACHELOR	STUDENT	ENGLISH	CHINESE	3088-1	FRIENDS	Same Room
3089	3089-1	F	2X	CHINESE	BACHELOR	STUDENT	ENGLISH	ENGLISH	3089-2	FRIENDS	Same Room
3089	3089-2	F	2X	CHINESE	BACHELOR	STUDENT	ENGLISH	ENGLISH	3089-1	FRIENDS	Same Room
3090	3090-1	F	2X	CHINESE	BACHELOR	STUDENT	ENGLISH	ENGLISH	3090-2	FRIENDS	Same Room
3090	3090-2	F	2X	CHINESE	BACHELOR	STUDENT	ENGLISH	ENGLISH	3090-1	FRIENDS	Same Room
3091	3091-1	F	2X	CHINESE	BACHELOR	STUDENT	ENGLISH	ENGLISH	3091-2	FRIENDS	Same Room
3091	3091-2	F	1X	CHINESE	DIPLOMA	STUDENT	ENGLISH	ENGLISH	3091-1	FRIENDS	Same Room
3092	3092-1	F	2X	CHINESE	BACHELOR	STUDENT	"ENGLISH,CHINESE"	ENGLISH	3092-2	FRIENDS	Same Room
3092	3092-2	F	2X	CHINESE	BACHELOR	STUDENT	"ENGLISH,CHINESE"	ENGLISH	3092-1	FRIENDS	Same Room
3093	3093-1	M	3X	CHINESE	DIPLOMA	SALES 	"ENGLISH,CHINESE"	CHINESE	3093-2	FRIENDS	Same Room
3093	3093-2	F	4X	CHINESE	DIPLOMA	HEALTHCARE	"ENGLISH,CHINESE"	ENGLISH	3093-1	FRIENDS	Same Room
3094	3094-1	F	2X	CHINESE	BACHELOR	STUDENT	"ENGLISH,CHINESE"	ENGLISH	3094-2	FRIENDS	Same Room
3094	3094-2	M	2X	CHINESE	BACHELOR	STUDENT	"ENGLISH,CHINESE"	ENGLISH	3094-1	FRIENDS	Same Room
3095	3095-1	M	2X	CHINESE	BACHELOR	STUDENT	"ENGLISH,CHINESE"	ENGLISH	3095-2	FRIENDS	Same Room
3095	3095-2	F	2X	CHINESE	BACHELOR	STUDENT	"ENGLISH,CHINESE"	CHINESE	3095-1	FRIENDS	Same Room
3096	3096-1	M	2X	CHINESE	BACHELOR	STUDENT	"ENGLISH,CHINESE"	ENGLISH	3096-2	PARTNER	Same Room
3096	3096-2	F	2X	CHINESE	BACHELOR	STUDENT	"ENGLISH,CHINESE"	ENGLISH	3096-1	PARTNER	Same Room
3097	3097-1	F	4X	CHINESE	O-LEVEL	HOMEMAKER	"ENGLISH,CHINESE"	ENGLISH	3097-2	FAMILY	Same Room
3097	3097-2	F	2X	CHINESE	BACHELOR	STUDENT	"ENGLISH,CHINESE"	ENGLISH	3097-1	FAMILY	Same Room
3098	3098-1	F	2X	CHINESE	BACHELOR	STUDENT	"ENGLISH,CHINESE"	CHINESE	3098-2	FRIENDS	Same Room
3098	3098-2	F	2X	CHINESE	BACHELOR	STUDENT	"ENGLISH,CHINESE"	ENGLISH	3098-1	FRIENDS	Same Room
3099	3099-1	F	2X	CHINESE	BACHELOR	STUDENT	"ENGLISH,CHINESE"	ENGLISH	3099-2	PARTNER	Same Room
3099	3099-2	M	2X	CHINESE	BACHELOR	STUDENT	"ENGLISH,CHINESE"	ENGLISH	3099-1	PARTNER	Same Room
3100	3100-1	F	2X	CHINESE	BACHELOR	STUDENT	"ENGLISH,CHINESE"	ENGLISH	3100-2	FRIENDS	Same Room
3100	3100-2	F	2X	CHINESE	BACHELOR	STUDENT	"ENGLISH,CHINESE"	ENGLISH	3100-1	FRIENDS	Same Room
3101	3101-1	F	2X	MALAY	DIPLOMA	STUDENT	"ENGLISH,MALAY"	ENGLISH	3101-2	FRIENDS	Same Room
3101	3101-2	F	2X	MALAY	DIPLOMA	STUDENT	"ENGLISH,MALAY"	ENGLISH	3101-1	FRIENDS	Same Room
3102	3102-1	M	3X	CHINESE	BACHELOR	ENGINEER	"ENGLISH,CHINESE"	ENGLISH	3102-2	PARTNER	Same Room
3102	3102-2	F	2X	CHINESE	BACHELOR	DESIGNER	"ENGLISH,CHINESE"	ENGLISH	3102-1	PARTNER	Same Room
